Bitacora de Multichat
Fecha|                   |Correo|                            |Comando|   |Resultado|    |Host|                   |UserAgent|                       |Remote Address
2016-09-23 13:18:25       |nesty@localhost       |SMS   |Message has been sent            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 13:18:26       |nesty@localhost       |confirmacion de entrega   |entregado            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 13:27:01       |nesty@localhost       |52463552*noti   |Entrada            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 13:29:24       |nesty@localhost       |52463552*noti   |Entrada            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 13:30:25       |nesty@localhost       |SMS   |Message has been sent            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 13:30:35       |nesty@localhost       |confirmacion de entrega   |entregado            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 13:30:50       |nesty@localhost       |53687456*noti   |Entrada            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 13:31:12       |nesty@localhost       |SMS   |Message has been sent            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 13:31:13       |nesty@localhost       |confirmacion de entrega   |entregado            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 13:31:18       |nesty@localhost       |56452314*noti   |Entrada            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
